TargetPitch,SensorPitch,TargetRoll,SensorRoll
-0.1700,-0.2473,0.0000,-0.0299
-0.1700,-0.2509,0.0000,-0.0284
-0.1700,-0.2553,0.0000,-0.0268
-0.1700,-0.2565,0.0000,-0.0276
-0.1700,-0.2579,0.0000,-0.0288
-0.1700,-0.2603,0.0000,-0.0297
-0.1700,-0.2628,0.0000,-0.0299
-0.1700,-0.2656,0.0000,-0.0295
-0.1700,-0.2684,0.0000,-0.0293
-0.1700,-0.2715,0.0000,-0.0297
-0.1700,-0.2735,0.0000,-0.0298
-0.1700,-0.2757,0.0000,-0.0292
-0.1700,-0.2775,0.0000,-0.0292
-0.1700,-0.2802,0.0000,-0.0296
-0.1700,-0.2832,0.0000,-0.0288
-0.1700,-0.2845,0.0000,-0.0277
-0.1700,-0.2874,0.0000,-0.0278
-0.1700,-0.2907,0.0000,-0.0288
-0.1700,-0.2930,0.0000,-0.0295
-0.1700,-0.2942,0.0000,-0.0303
-0.1700,-0.2974,0.0000,-0.0294
0.1700,-0.3025,0.0000,-0.0281
0.1700,-0.3054,0.0000,-0.0288
0.1700,-0.3060,0.0000,-0.0291
0.1700,-0.3056,0.0000,-0.0287
0.1700,-0.3059,0.0000,-0.0289
0.1700,-0.3020,0.0000,-0.0287
0.1700,-0.2938,0.0000,-0.0291
0.1700,-0.2866,0.0000,-0.0299
0.1700,-0.2833,0.0000,-0.0299
0.1700,-0.2823,0.0000,-0.0293
0.1700,-0.2804,0.0000,-0.0292
0.1700,-0.2770,0.0000,-0.0297
0.1700,-0.2728,0.0000,-0.0302
0.1700,-0.2700,0.0000,-0.0300
0.1700,-0.2691,0.0000,-0.0293
0.1700,-0.2662,0.0000,-0.0291
0.1700,-0.2626,0.0000,-0.0296
0.1700,-0.2596,0.0000,-0.0298
0.1700,-0.2566,0.0000,-0.0294
0.1700,-0.2542,0.0000,-0.0294
0.1700,-0.2519,0.0000,-0.0296
0.1700,-0.2497,0.0000,-0.0299
0.1700,-0.2469,0.0000,-0.0294
0.1700,-0.2440,0.0000,-0.0288
0.1700,-0.2406,0.0000,-0.0291
0.1700,-0.2375,0.0000,-0.0299
0.1700,-0.2353,0.0000,-0.0298
0.1700,-0.2330,0.0000,-0.0293
0.1700,-0.2302,0.0000,-0.0293
0.1700,-0.2269,0.0000,-0.0292
0.1700,-0.2239,0.0000,-0.0299
0.1700,-0.2221,0.0000,-0.0302
0.1700,-0.2206,0.0000,-0.0297
0.1700,-0.2174,0.0000,-0.0287
0.1700,-0.2136,0.0000,-0.0286
0.1700,-0.2110,0.0000,-0.0292
0.1700,-0.2088,0.0000,-0.0294
0.1700,-0.2054,0.0000,-0.0296
0.1700,-0.2030,0.0000,-0.0297
0.1700,-0.2009,0.0000,-0.0291
0.1700,-0.1982,0.0000,-0.0289
0.1700,-0.1956,0.0000,-0.0285
0.1700,-0.1929,0.0000,-0.0289
0.1700,-0.1902,0.0000,-0.0291
0.1700,-0.1874,0.0000,-0.0288
0.1700,-0.1841,0.0000,-0.0287
0.1700,-0.1817,0.0000,-0.0286
0.1700,-0.1802,0.0000,-0.0288
0.1700,-0.1769,0.0000,-0.0287
0.1700,-0.1730,0.0000,-0.0285
0.1700,-0.1714,0.0000,-0.0283
0.1700,-0.1696,0.0000,-0.0284
0.1700,-0.1665,0.0000,-0.0283
0.1700,-0.1638,0.0000,-0.0284
0.1700,-0.1610,0.0000,-0.0289
0.1700,-0.1578,0.0000,-0.0287
0.1700,-0.1547,0.0000,-0.0285
0.1700,-0.1523,0.0000,-0.0287
0.1700,-0.1504,0.0000,-0.0286
0.1700,-0.1482,0.0000,-0.0286
0.1700,-0.1454,0.0000,-0.0285
0.1700,-0.1422,0.0000,-0.0280
0.1700,-0.1391,0.0000,-0.0286
0.1700,-0.1365,0.0000,-0.0289
0.1700,-0.1343,0.0000,-0.0285
0.1700,-0.1314,0.0000,-0.0284
0.1700,-0.1282,0.0000,-0.0282
0.1700,-0.1252,0.0000,-0.0280
0.1700,-0.1225,0.0000,-0.0281
0.1700,-0.1197,0.0000,-0.0282
0.1700,-0.1164,0.0000,-0.0279
0.1700,-0.1134,0.0000,-0.0281
0.1700,-0.1114,0.0000,-0.0281
0.1700,-0.1094,0.0000,-0.0276
0.1700,-0.1060,0.0000,-0.0278
0.1700,-0.1022,0.0000,-0.0280
