TargetPitch,SensorPitch,TargetRoll,SensorRoll
0.0000,-0.0580,-0.1700,-0.1916
0.0000,-0.0584,-0.1700,-0.1940
0.0000,-0.0584,-0.1700,-0.1944
0.0000,-0.0589,-0.1700,-0.1970
0.0000,-0.0598,-0.1700,-0.2030
0.0000,-0.0603,-0.1700,-0.2064
0.0000,-0.0607,-0.1700,-0.2086
0.0000,-0.0608,-0.1700,-0.2092
0.0000,-0.0611,-0.1700,-0.2105
0.0000,-0.0616,-0.1700,-0.2138
0.0000,-0.0621,-0.1700,-0.2169
0.0000,-0.0626,-0.1700,-0.2202
0.0000,-0.0630,-0.1700,-0.2225
0.0000,-0.0635,-0.1700,-0.2248
0.0000,-0.0639,-0.1700,-0.2275
0.0000,-0.0643,-0.1700,-0.2293
0.0000,-0.0648,-0.1700,-0.2317
0.0000,-0.0652,-0.1700,-0.2342
0.0000,-0.0657,-0.1700,-0.2373
0.0000,-0.0660,-0.1700,-0.2405
0.0000,-0.0662,-0.1700,-0.2430
0.0000,-0.0664,-0.1700,-0.2448
0.0000,-0.0666,-0.1700,-0.2471
0.0000,-0.0670,-0.1700,-0.2495
0.0000,-0.0673,-0.1700,-0.2517
0.0000,-0.0680,-0.1700,-0.2553
0.0000,-0.0685,-0.1700,-0.2588
0.0000,-0.0691,-0.1700,-0.2614
0.0000,-0.0693,-0.1700,-0.2622
0.0000,-0.0696,-0.1700,-0.2645
0.0000,-0.0702,-0.1700,-0.2685
0.0000,-0.0706,-0.1700,-0.2709
0.0000,-0.0709,-0.1700,-0.2728
0.0000,-0.0712,-0.1700,-0.2753
0.0000,-0.0719,-0.1700,-0.2785
0.0000,-0.0723,-0.1700,-0.2811
0.0000,-0.0726,-0.1700,-0.2828
0.0000,-0.0730,-0.1700,-0.2846
0.0000,-0.0735,0.1700,-0.2866
0.0000,-0.0738,0.1700,-0.2903
0.0000,-0.0738,0.1700,-0.2913
0.0000,-0.0738,0.1700,-0.2907
0.0000,-0.0742,0.1700,-0.2912
0.0000,-0.0731,0.1700,-0.2864
0.0000,-0.0718,0.1700,-0.2794
0.0000,-0.0713,0.1700,-0.2744
0.0000,-0.0708,0.1700,-0.2715
0.0000,-0.0708,0.1700,-0.2706
0.0000,-0.0704,0.1700,-0.2679
0.0000,-0.0699,0.1700,-0.2641
0.0000,-0.0695,0.1700,-0.2612
0.0000,-0.0691,0.1700,-0.2582
0.0000,-0.0686,0.1700,-0.2556
0.0000,-0.0681,0.1700,-0.2526
0.0000,-0.0677,0.1700,-0.2498
0.0000,-0.0674,0.1700,-0.2475
0.0000,-0.0670,0.1700,-0.2447
0.0000,-0.0666,0.1700,-0.2417
0.0000,-0.0662,0.1700,-0.2389
0.0000,-0.0659,0.1700,-0.2361
0.0000,-0.0655,0.1700,-0.2333
0.0000,-0.0652,0.1700,-0.2310
0.0000,-0.0648,0.1700,-0.2284
0.0000,-0.0645,0.1700,-0.2257
0.0000,-0.0641,0.1700,-0.2233
